2017-07-22 19:18:03.473370|INFO    |VirtualServer |  5| listening on 0.0.0.0:6969
2017-08-03 21:55:50.610096|INFO    |VirtualServer |  5| client (id:323) was added to servergroup 'Auxiliar'(id:55) by client 'Saurin'(id:97)
2017-08-03 21:55:55.611389|INFO    |VirtualServer |  5| client (id:323) was removed from servergroup 'Auxiliar'(id:55) by client 'Saurin'(id:97)
2017-08-03 21:55:59.279395|INFO    |VirtualServer |  5| client (id:323) was added to servergroup 'Server Admin'(id:54) by client 'Saurin'(id:97)
2017-08-03 22:13:05.478122|INFO    |VirtualServer |  5| client (id:324) was added to servergroup 'Auxiliar'(id:55) by client 'JO&#195;OP.ZICO'(id:323)
2017-08-03 22:13:09.227325|INFO    |VirtualServer |  5| client (id:324) was removed from servergroup 'Auxiliar'(id:55) by client 'JO&#195;OP.ZICO'(id:323)
2017-08-03 22:13:30.089293|INFO    |VirtualServer |  5| client (id:324) was added to servergroup '... (Copiar) (Copi (Copiar 52)'(id:126) by client 'JO&#195;OP.ZICO'(id:323)
2017-08-03 22:13:51.945216|INFO    |VirtualServer |  5| client (id:324) was removed from servergroup '... (Copiar) (Copi (Copiar 52)'(id:126) by client 'JO&#195;OP.ZICO'(id:323)
2017-08-03 22:14:00.436942|INFO    |VirtualServer |  5| client (id:325) was added to servergroup 'Auxiliar'(id:55) by client 'JO&#195;OP.ZICO'(id:323)
2017-08-03 22:14:05.605885|INFO    |VirtualServer |  5| client (id:325) was added to servergroup '... (Copiar) (Copi (Copiar 68)'(id:142) by client 'JO&#195;OP.ZICO'(id:323)
2017-08-03 22:14:09.038448|INFO    |VirtualServer |  5| client (id:325) was removed from servergroup '... (Copiar) (Copi (Copiar 68)'(id:142) by client 'JO&#195;OP.ZICO'(id:323)
2017-08-03 22:14:18.832786|INFO    |VirtualServer |  5| client (id:326) was added to servergroup 'Auxiliar'(id:55) by client 'JO&#195;OP.ZICO'(id:323)
2017-08-03 22:15:05.920698|INFO    |VirtualServer |  5| client (id:326) was added to servergroup '... (Copiar) (Copi (Copiar 47)'(id:118) by client 'EternoUNITED'(id:325)
2017-08-03 22:15:22.798315|INFO    |VirtualServer |  5| client (id:325) was added to servergroup 'Full Gold'(id:97) by client 'EternoUNITED'(id:325)
2017-08-03 22:15:24.721832|INFO    |VirtualServer |  5| client (id:326) was added to servergroup '... (Copiar) (Copi (Copiar 14)'(id:162) by client 'iJeanderUNITED'(id:326)
2017-08-03 22:15:27.729335|INFO    |VirtualServer |  5| client (id:325) was added to servergroup 'Full Cash'(id:98) by client 'EternoUNITED'(id:325)
2017-08-03 22:15:33.507517|INFO    |VirtualServer |  5| client (id:326) was removed from servergroup '... (Copiar) (Copi (Copiar 47)'(id:118) by client 'iJeanderUNITED'(id:326)
2017-08-03 22:15:34.401894|INFO    |VirtualServer |  5| client (id:325) was added to servergroup '... (Copiar) (Copi  (Copiar 6)'(id:154) by client 'JO&#195;OP.ZICO'(id:323)
