2017-09-19 23:21:48.929414|INFO    |VirtualServer |  4| listening on 0.0.0.0:9995
2017-09-20 00:06:41.931804|INFO    |VirtualServer |  4| client (id:452) was added to servergroup 'PRO - FACA '(id:221) by client 'TK]Digo'(id:452)
2017-09-20 00:06:47.671293|INFO    |VirtualServer |  4| client (id:452) was added to servergroup 'PRO - DESERT'(id:220) by client 'TK]Digo'(id:452)
2017-09-20 00:07:19.114882|INFO    |VirtualServer |  4| client (id:452) was added to servergroup 'Sub Tenente'(id:198) by client 'TK]Digo'(id:452)
2017-09-20 00:07:35.321441|INFO    |VirtualServer |  4| client (id:452) was removed from servergroup 'Sub Tenente'(id:198) by client 'TK]Digo'(id:452)
2017-09-20 00:42:27.445701|INFO    |VirtualServer |  4| client 'TK]Digo'(id:452) was added to channelgroup 'Operator'(id:18) by client 'TK]Digo'(id:452) in channel '&#9556;&#9679; Bate Papo &#10102;'(id:177)
2017-09-20 00:46:39.306681|INFO    |VirtualServer |  4| client 'TK]Digo'(id:452) was added to channelgroup 'Voice'(id:19) by client 'TK]Digo'(id:452) in channel '&#9556;&#9679; Bate Papo &#10102;'(id:177)
2017-09-20 00:46:59.754964|INFO    |VirtualServer |  4| client (id:452) was removed from servergroup 'Gordo'(id:213) by client 'TK]Digo'(id:452)
2017-09-20 00:51:42.143533|INFO    |VirtualServer |  4| client 'TK]Digo'(id:452) was added to channelgroup 'Guest'(id:20) by client 'Borges.'(id:53) in channel '&#9556;&#9679; Bate Papo &#10102;'(id:177)
2017-09-20 00:53:02.411064|INFO    |VirtualServer |  4| client (id:501) was added to servergroup 'b4w.'(id:211) by client 'Borges.'(id:53)
2017-09-20 00:53:05.226103|INFO    |VirtualServer |  4| client (id:500) was added to servergroup 'b4w.'(id:211) by client 'Borges.'(id:53)
2017-09-20 00:53:07.896682|INFO    |VirtualServer |  4| client (id:499) was added to servergroup 'b4w.'(id:211) by client 'Borges.'(id:53)
2017-09-20 00:53:10.916619|INFO    |VirtualServer |  4| client (id:502) was added to servergroup 'b4w.'(id:211) by client 'Borges.'(id:53)
2017-09-21 01:36:24.194065|INFO    |VirtualServer |  4| client (id:497) was removed from servergroup 'Registrado'(id:179) by client 'Borges.'(id:53)
2017-09-21 20:02:27.281201|INFO    |VirtualServer |  4| client 'TK]Digo'(id:452) was added to channelgroup 'Voice'(id:19) by client 'TK]Digo'(id:452) in channel '&#9568;&#9679; Bate Papo &#10103;'(id:178)
2017-09-21 20:02:42.708687|INFO    |VirtualServer |  4| client 'TK]Digo'(id:452) was added to channelgroup 'Channel Admin'(id:17) by client 'TK]Digo'(id:452) in channel '&#9568;&#9679; Bate Papo &#10103;'(id:178)
2017-09-21 20:02:51.327137|INFO    |VirtualServer |  4| client 'TK]Digo'(id:452) was added to channelgroup 'Guest'(id:20) by client 'TK]Digo'(id:452) in channel '&#9568;&#9679; Bate Papo &#10103;'(id:178)
2017-09-21 21:56:20.969700|INFO    |VirtualServer |  4| client (id:511) was added to servergroup 'Registrado'(id:179) by client 'REI DINHOOOO'(id:463)
2017-09-21 21:56:37.824056|INFO    |VirtualServer |  4| client (id:511) was added to servergroup 'General de Divis&#227;o'(id:206) by client 'REI DINHOOOO'(id:463)
2017-09-21 21:57:16.327607|INFO    |VirtualServer |  4| client (id:511) was added to servergroup 'PRO  -  AK47'(id:218) by client 'REI DINHOOOO'(id:463)
2017-09-21 21:57:26.136127|INFO    |VirtualServer |  4| client (id:511) was added to servergroup 'PIU - PIU'(id:183) by client 'REI DINHOOOO'(id:463)
2017-09-21 23:25:17.774300|INFO    |VirtualServerBase|  4| stopped
